avilottransfer,1
question,correct,answer_0,answer_1,answer_2
"""B"" stall provedu",2,postupným stažením zadních popruhů,postupným stažením předních popruhů,postupným stažením popruhů druhé řady
045 stupňů je vedlejší světová strana:,1,severozápad,severovýchod,jihozápad
10 cm na mapě 1 : 200 000 odpovídá ve skutečnosti:,0,20 km,50 km,200 km
225 stupňů je vedlejší světová strana:,1,severozápad,jihozápad,jihovýchod
9 cm na mapě 1 : 500 000 odpovídá ve skutečnosti:,1,60 km,45 km,50 km
"Cizí těleso (např. kamínky, střep apod.) z rány:",0,"vyjmeme, pokud je to možné bez nepřiměřeného násilí (např. výplachem rány vodou, mírným tahem apod.)","vyjmeme za každou cenu, tj. i za cenu poškození okolní tkáně, a ránu následně důkladně propláchneme desinfekcí.","zásadně nevyjímáme - ponecháme nečistoty v ráně, kterou obvážeme a obvaz necháme nasáknout dostupnou dezinfekcí"
Co rozumíme v meteorologii pojmem bouřka:,1,jev totožný s pojmem „studená fronta“,přírodní jev doprovázený intenzivními srážkami a elektrickými výboji,nejvýraznější projev konvekce ve volné atmosféře
"Co znamená populární termín ""negativní zatáčka""",1,symetrické přetažení,asymetrické (jednostranné) přetažení PK,spirála
Co znamená zkratka CTR?,0,řízený okrsek letiště,koncová řízená oblast,"prostor, kde není možné provádět lety VFR"
Co znamená zkratka SLZ,2,společná letová zóna,stálé letové zabezpečení,sportovní létající zařízení
"Coriolisova síla, která působí i na vítr je:",0,"setrvačná síla, způsobující uchylování směru pohybu těles, tedy i proudu vzduchu",síla tření,odstředivá síla
Definice dohlednosti zní:,2,schopnost vidět a rozeznávat význačné neosvětlené předměty ve dne a světla v noci z kabiny letadla za letu,dohlednost dopředu z kabiny letadla za letu daná meteorologickými podmínkami a vyjádřená v jednotkách délkové míry,schopnost vidět a rozeznávat význačné neosvětlené předměty ve dne a světla v noci určená atmosférickými podmínkami a vyjádřená jednotkami vzdálenosti
Do předstartovní kontroly patří,1,"kontrola PK ,upnutí, počasí, prostoru ve směru letu a místa přistání","kontrola postroje, šňůr, vrchlíku, počasí, prostoru","kontrola opotřebení PK a postroje,všech švů, kontrola karabin, přilby a přístrojů"
Do zakázaného prostoru (LK P) pilot:,0,nesmí vletět pokud příslušný úřad nevydá zvláštní povolení,může vletět v rámci prostoru třídy G a E avšak nejvýše rychlostí 460 km/hod IAS,"může vletět, nesmí jej však opustit"
Doba platnosti lékařského posudku o zdravotní způsobilosti je pro piloty,2,36 měsíců u osob od 30 do 60 let,24 měsíců u osob od 35 do 60 let,12 měsíců u osob od 75 let
Doba východu a západu slunce se mění:,1,intensitou slunečního záření,s roční dobou,působením magnetického pole zeměkoule
